outlet_id,outlet_size,population_density,number_of_skus_sold,average_household_income,region_outstation,region_upcountry,region_western,number_of_skus_sold_range_0-25,number_of_skus_sold_range_25-50,number_of_skus_sold_range_50+
outlet_code_57,1209,2219,38,125926,0,0,1,0,1,0
outlet_code_58,203,101,10,50708,1,0,0,1,0,0
outlet_code_59,1103,248,14,70146,1,0,0,1,0,0
outlet_code_60,1420,286,17,85988,1,0,0,1,0,0
outlet_code_61,1196,259,15,74777,1,0,0,1,0,0
outlet_code_62,1599,308,19,94967,1,0,0,1,0,0
outlet_code_63,964,232,13,63187,1,0,0,1,0,0
outlet_code_64,976,233,13,63821,1,0,0,1,0,0
outlet_code_65,708,201,10,50392,1,0,0,1,0,0
outlet_code_66,1674,317,20,98675,1,0,0,1,0,0
outlet_code_67,3053,555,23,45796,0,1,0,1,0,0
outlet_code_68,708,351,10,30240,0,1,0,1,0,0
outlet_code_69,1146,395,19,43390,0,1,0,1,0,0
outlet_code_70,2869,3539,37,118474,0,0,1,0,1,0
outlet_code_71,2195,2191,24,84773,0,0,1,1,0,0
outlet_code_72,361,3222,44,155748,0,0,1,0,1,0
outlet_code_73,375,3431,46,162712,0,0,1,0,1,0
outlet_code_74,317,2559,38,133627,0,0,1,0,1,0
outlet_code_75,1375,2550,44,142502,0,0,1,0,1,0
outlet_code_76,1425,2650,45,147519,0,0,1,0,1,0
outlet_code_77,906,1611,27,95553,0,0,1,0,1,0
outlet_code_78,2870,344,14,71756,1,0,0,1,0,0
outlet_code_79,3999,400,20,99968,1,0,0,1,0,0
outlet_code_80,2586,329,13,64650,1,0,0,1,0,0
outlet_code_81,224,106,11,55912,1,0,0,1,0,0
outlet_code_82,329,132,16,82308,1,0,0,1,0,0
outlet_code_83,1525,299,18,91255,1,0,0,1,0,0
outlet_code_84,1312,273,16,80617,1,0,0,1,0,0
outlet_code_85,1154,255,15,72716,1,0,0,1,0,0
outlet_code_86,928,227,12,61393,1,0,0,1,0,0
outlet_code_87,1420,286,17,85975,1,0,0,1,0,0
outlet_code_88,730,204,10,51486,1,0,0,1,0,0
outlet_code_89,1001,236,13,65034,1,0,0,1,0,0
outlet_code_90,1450,290,18,87506,1,0,0,1,0,0
outlet_code_91,790,211,11,54487,1,0,0,1,0,0
outlet_code_92,1502,296,18,90075,1,0,0,1,0,0
outlet_code_93,933,228,12,61655,1,0,0,1,0,0
outlet_code_94,266,366,15,39966,0,1,0,1,0,0
outlet_code_95,1631,443,29,57925,0,1,0,0,1,0
outlet_code_96,1005,381,16,39165,0,1,0,1,0,0
outlet_code_97,3582,4964,52,154105,0,0,1,0,1,0
outlet_code_98,2753,3307,35,112672,0,0,1,0,1,0
outlet_code_99,345,2980,42,147669,0,0,1,0,1,0
outlet_code_100,910,1619,27,95961,0,0,1,0,1,0
outlet_code_101,1560,2919,50,160955,0,0,1,0,1,0
outlet_code_102,1573,2946,51,162314,0,0,1,0,1,0
outlet_code_103,3117,356,16,77926,1,0,0,1,0,0
outlet_code_104,251,113,13,62850,1,0,0,1,0,0
outlet_code_105,379,145,19,94728,1,0,0,1,0,0
outlet_code_106,1441,289,17,87037,1,0,0,1,0,0
outlet_code_107,1095,247,14,69759,1,0,0,1,0,0
outlet_code_108,1445,289,17,87271,1,0,0,1,0,0
outlet_code_109,1337,276,16,81864,1,0,0,1,0,0
outlet_code_110,1288,271,16,79391,1,0,0,1,0,0
outlet_code_111,1099,248,14,69926,1,0,0,1,0,0
outlet_code_112,1048,385,17,40443,0,1,0,1,0,0
outlet_code_113,1128,393,19,42834,0,1,0,1,0,0
outlet_code_114,722,352,10,30654,0,1,0,1,0,0
outlet_code_115,864,366,13,34912,0,1,0,1,0,0
outlet_code_116,2196,2192,24,84790,0,0,1,1,0,0
outlet_code_117,2681,3162,34,109054,0,0,1,0,1,0
outlet_code_118,3066,3933,41,128320,0,0,1,0,1,0
outlet_code_119,250,1549,27,99982,0,0,1,0,1,0
outlet_code_120,302,2324,35,125795,0,0,1,0,1,0
outlet_code_121,289,2135,33,119500,0,0,1,0,1,0
outlet_code_122,247,1501,27,98368,0,0,1,0,1,0
outlet_code_123,365,3276,45,157522,0,0,1,0,1,0
outlet_code_124,880,1561,26,93045,0,0,1,0,1,0
outlet_code_125,1073,1945,33,112270,0,0,1,0,1,0
outlet_code_126,801,1401,24,85052,0,0,1,1,0,0
outlet_code_127,1295,2390,41,134477,0,0,1,0,1,0
outlet_code_128,792,1383,23,84170,0,0,1,1,0,0
outlet_code_129,3114,356,16,77853,1,0,0,1,0,0
outlet_code_130,339,135,17,84771,1,0,0,1,0,0
outlet_code_131,348,137,17,87105,1,0,0,1,0,0
outlet_code_132,363,141,18,90843,1,0,0,1,0,0
outlet_code_133,248,112,12,61883,1,0,0,1,0,0
outlet_code_134,1658,315,20,97912,1,0,0,1,0,0
outlet_code_135,775,209,11,53774,1,0,0,1,0,0
outlet_code_136,1391,283,17,84538,1,0,0,1,0,0
outlet_code_137,784,210,11,54220,1,0,0,1,0,0
outlet_code_138,1606,309,19,95307,1,0,0,1,0,0
outlet_code_139,393,493,24,58977,0,1,0,1,0,0
outlet_code_140,293,393,17,43927,0,1,0,1,0,0
outlet_code_141,1088,389,18,41646,0,1,0,1,0,0
outlet_code_142,1444,424,25,52329,0,1,0,0,1,0
outlet_code_143,1217,402,20,45514,0,1,0,1,0,0
outlet_code_144,1601,440,28,57033,0,1,0,0,1,0
outlet_code_145,883,368,14,35483,0,1,0,1,0,0
outlet_code_146,2925,3651,39,121266,0,0,1,0,1,0
outlet_code_147,259,1686,29,104531,0,0,1,0,1,0
outlet_code_148,1315,2430,42,136492,0,0,1,0,1,0
outlet_code_149,1336,2472,42,138598,0,0,1,0,1,0
outlet_code_150,1333,2467,42,138328,0,0,1,0,1,0
outlet_code_151,1245,2289,39,129470,0,0,1,0,1,0
outlet_code_152,1202,2204,38,125186,0,0,1,0,1,0
outlet_code_153,903,1607,27,95340,0,0,1,0,1,0
outlet_code_154,885,1570,26,93523,0,0,1,0,1,0
outlet_code_155,1358,2515,43,140753,0,0,1,0,1,0
outlet_code_156,2878,344,14,71960,1,0,0,1,0,0
outlet_code_157,273,118,14,68305,1,0,0,1,0,0
outlet_code_158,242,111,12,60519,1,0,0,1,0,0
outlet_code_159,352,138,18,87902,1,0,0,1,0,0
outlet_code_160,237,109,12,59253,1,0,0,1,0,0
outlet_code_161,856,219,12,57819,1,0,0,1,0,0
outlet_code_162,825,215,11,56256,1,0,0,1,0,0
outlet_code_163,1188,259,15,74414,1,0,0,1,0,0
outlet_code_164,1259,267,16,77932,1,0,0,1,0,0
outlet_code_165,1144,253,14,72216,1,0,0,1,0,0
outlet_code_166,807,213,11,55336,1,0,0,1,0,0
outlet_code_167,1438,289,17,86886,1,0,0,1,0,0
outlet_code_168,981,234,13,64032,1,0,0,1,0,0
outlet_code_169,1162,255,15,73097,1,0,0,1,0,0
outlet_code_170,321,421,19,48212,0,1,0,1,0,0
outlet_code_171,1023,382,16,39698,0,1,0,1,0,0
outlet_code_172,278,1968,32,113943,0,0,1,0,1,0
outlet_code_173,1484,2767,47,153362,0,0,1,0,1,0
outlet_code_174,1278,2356,40,132808,0,0,1,0,1,0
outlet_code_175,1239,2277,39,128872,0,0,1,0,1,0
outlet_code_176,2362,318,12,59054,1,0,0,1,0,0
outlet_code_177,382,146,19,95528,1,0,0,1,0,0
outlet_code_178,1194,259,15,74693,1,0,0,1,0,0
outlet_code_179,1695,319,20,99775,1,0,0,1,0,0
outlet_code_180,734,204,10,51683,1,0,0,1,0,0
outlet_code_181,1272,269,16,78609,1,0,0,1,0,0
outlet_code_182,1393,283,17,84672,1,0,0,1,0,0
outlet_code_183,3038,554,23,45565,0,1,0,1,0,0
outlet_code_184,3636,614,30,54546,0,1,0,0,1,0
outlet_code_185,382,482,24,57364,0,1,0,1,0,0
outlet_code_186,1283,408,22,47484,0,1,0,1,0,0
outlet_code_187,1479,428,26,53376,0,1,0,0,1,0
outlet_code_188,1427,423,25,51815,0,1,0,0,1,0
outlet_code_189,1463,426,25,52883,0,1,0,0,1,0
outlet_code_190,839,1477,25,88866,0,0,1,0,1,0
outlet_code_191,1069,1939,33,111927,0,0,1,0,1,0
outlet_code_192,1356,2512,43,140590,0,0,1,0,1,0
outlet_code_193,839,1478,25,88891,0,0,1,0,1,0
outlet_code_194,1580,2961,51,163048,0,0,1,0,1,0
outlet_code_195,774,209,11,53697,1,0,0,1,0,0
outlet_code_196,784,210,11,54186,1,0,0,1,0,0
outlet_code_197,1075,245,14,68750,1,0,0,1,0,0
outlet_code_198,872,221,12,58593,1,0,0,1,0,0
outlet_code_199,1046,242,13,67305,1,0,0,1,0,0
outlet_code_200,1026,239,13,66283,1,0,0,1,0,0
outlet_code_201,284,384,16,42559,0,1,0,1,0,0
outlet_code_202,304,404,18,45660,0,1,0,1,0,0
outlet_code_203,1243,404,21,46300,0,1,0,1,0,0
outlet_code_204,1470,427,25,53087,0,1,0,0,1,0
outlet_code_205,875,367,13,35236,0,1,0,1,0,0
outlet_code_206,2731,3262,35,111553,0,0,1,0,1,0
outlet_code_207,2672,3144,33,108604,0,0,1,0,1,0
outlet_code_208,2608,3017,32,105421,0,0,1,0,1,0
outlet_code_209,212,973,22,80756,0,0,1,1,0,0
outlet_code_210,382,3534,47,166139,0,0,1,0,1,0
outlet_code_211,325,2682,39,137735,0,0,1,0,1,0
outlet_code_212,946,1691,29,99561,0,0,1,0,1,0
outlet_code_213,1345,2491,43,139527,0,0,1,0,1,0
outlet_code_214,1527,2855,49,157742,0,0,1,0,1,0
outlet_code_215,2218,311,11,55445,1,0,0,1,0,0
outlet_code_216,2144,307,11,53601,1,0,0,1,0,0
outlet_code_217,217,104,11,54231,1,0,0,1,0,0
outlet_code_218,239,110,12,59815,1,0,0,1,0,0
outlet_code_219,268,117,13,67019,1,0,0,1,0,0
outlet_code_220,260,115,13,64947,1,0,0,1,0,0
outlet_code_221,1371,281,17,83569,1,0,0,1,0,0
outlet_code_222,1189,259,15,74432,1,0,0,1,0,0
outlet_code_223,1523,299,18,91152,1,0,0,1,0,0
outlet_code_224,737,204,10,51849,1,0,0,1,0,0
outlet_code_225,751,206,11,52553,1,0,0,1,0,0
outlet_code_226,1662,315,20,98120,1,0,0,1,0,0
outlet_code_227,956,231,13,62794,1,0,0,1,0,0
outlet_code_228,1517,298,18,90840,1,0,0,1,0,0
outlet_code_229,1459,291,18,87969,1,0,0,1,0,0
outlet_code_230,299,399,17,44809,0,1,0,1,0,0
outlet_code_231,372,472,23,55793,0,1,0,1,0,0
outlet_code_232,345,445,21,51783,0,1,0,1,0,0
outlet_code_233,1641,444,29,58223,0,1,0,0,1,0
outlet_code_234,1136,394,19,43077,0,1,0,1,0,0
outlet_code_235,1149,395,19,43466,0,1,0,1,0,0
outlet_code_236,236,1342,25,93062,0,0,1,0,1,0
outlet_code_237,222,1123,23,85757,0,0,1,1,0,0
outlet_code_238,870,1540,26,92006,0,0,1,0,1,0
outlet_code_239,1350,2500,43,139983,0,0,1,0,1,0
outlet_code_240,960,1721,29,101033,0,0,1,0,1,0
outlet_code_241,1437,2673,46,148671,0,0,1,0,1,0
outlet_code_242,3864,393,19,96600,1,0,0,1,0,0
outlet_code_243,287,122,14,71818,1,0,0,1,0,0
outlet_code_244,287,122,14,71636,1,0,0,1,0,0
outlet_code_245,251,113,13,62808,1,0,0,1,0,0
outlet_code_246,1027,239,13,66348,1,0,0,1,0,0
outlet_code_247,1376,281,17,83810,1,0,0,1,0,0
outlet_code_248,1503,296,18,90162,1,0,0,1,0,0
outlet_code_249,757,207,11,52827,1,0,0,1,0,0
outlet_code_250,1586,306,19,94281,1,0,0,1,0,0
outlet_code_251,1646,314,19,97301,1,0,0,1,0,0
outlet_code_252,218,318,11,32756,0,1,0,1,0,0
outlet_code_253,1015,381,16,39449,0,1,0,1,0,0
outlet_code_254,3801,5402,56,165049,0,0,1,0,1,0
outlet_code_255,341,2908,41,145283,0,0,1,0,1,0
outlet_code_256,220,1107,23,85225,0,0,1,1,0,0
outlet_code_257,218,1066,23,83872,0,0,1,1,0,0
outlet_code_258,1456,2712,46,150599,0,0,1,0,1,0
outlet_code_259,850,1501,25,90026,0,0,1,0,1,0
outlet_code_260,766,1331,22,81558,0,0,1,1,0,0
outlet_code_261,1009,1817,31,105871,0,0,1,0,1,0
outlet_code_262,3226,361,16,80653,1,0,0,1,0,0
outlet_code_263,2208,310,11,55188,1,0,0,1,0,0
outlet_code_264,292,123,15,72952,1,0,0,1,0,0
outlet_code_265,341,135,17,85155,1,0,0,1,0,0
outlet_code_266,1221,263,15,76049,1,0,0,1,0,0
outlet_code_267,1550,302,19,92519,1,0,0,1,0,0
outlet_code_268,1302,272,16,80084,1,0,0,1,0,0
outlet_code_269,251,351,14,37716,0,1,0,1,0,0
outlet_code_270,212,312,11,31874,0,1,0,1,0,0
outlet_code_271,1532,433,27,54947,0,1,0,0,1,0
outlet_code_272,338,2875,41,144167,0,0,1,0,1,0
outlet_code_273,1685,3171,54,173545,0,0,1,0,1,0
outlet_code_274,1310,2421,41,136037,0,0,1,0,1,0
outlet_code_275,885,1569,26,93466,0,0,1,0,1,0
outlet_code_276,808,1415,24,85775,0,0,1,1,0,0
outlet_code_277,3078,354,15,76952,1,0,0,1,0,0
outlet_code_278,2266,313,11,56659,1,0,0,1,0,0
outlet_code_279,377,144,19,94222,1,0,0,1,0,0
outlet_code_280,318,130,16,79555,1,0,0,1,0,0
outlet_code_281,1304,272,16,80204,1,0,0,1,0,0
outlet_code_282,842,217,11,57118,1,0,0,1,0,0
outlet_code_283,1317,274,16,80869,1,0,0,1,0,0
outlet_code_284,1060,243,14,68016,1,0,0,1,0,0
outlet_code_285,1379,281,17,83958,1,0,0,1,0,0
outlet_code_286,1053,385,17,40598,0,1,0,1,0,0
outlet_code_287,881,368,14,35437,0,1,0,1,0,0
outlet_code_288,2690,3180,34,109492,0,0,1,0,1,0
outlet_code_289,357,3156,44,153540,0,0,1,0,1,0
outlet_code_290,310,2454,37,130126,0,0,1,0,1,0
outlet_code_291,975,1751,30,102535,0,0,1,0,1,0
outlet_code_292,986,1771,30,103575,0,0,1,0,1,0
outlet_code_293,3313,366,17,82817,1,0,0,1,0,0
outlet_code_294,324,131,16,81044,1,0,0,1,0,0
outlet_code_295,256,114,13,63929,1,0,0,1,0,0
outlet_code_296,287,122,14,71652,1,0,0,1,0,0
outlet_code_297,313,128,16,78207,1,0,0,1,0,0
outlet_code_298,369,142,18,92308,1,0,0,1,0,0
outlet_code_299,293,123,15,73293,1,0,0,1,0,0
outlet_code_300,364,141,18,91048,1,0,0,1,0,0
outlet_code_301,393,148,20,98325,1,0,0,1,0,0
outlet_code_302,284,121,14,70979,1,0,0,1,0,0
outlet_code_303,794,211,11,54685,1,0,0,1,0,0
outlet_code_304,1168,256,15,73377,1,0,0,1,0,0
outlet_code_305,741,354,11,31216,0,1,0,1,0,0
outlet_code_306,1661,446,29,58843,0,1,0,0,1,0
outlet_code_307,905,371,14,36164,0,1,0,1,0,0
outlet_code_308,841,364,13,34245,0,1,0,1,0,0
outlet_code_309,275,1923,31,112424,0,0,1,0,1,0
outlet_code_310,1147,2094,36,119714,0,0,1,0,1,0
outlet_code_311,1663,3125,54,171270,0,0,1,0,1,0
outlet_code_312,1348,2496,43,139814,0,0,1,0,1,0
outlet_code_313,1338,2477,42,138834,0,0,1,0,1,0
outlet_code_314,1450,2699,46,149957,0,0,1,0,1,0
outlet_code_315,1171,2142,36,122123,0,0,1,0,1,0
outlet_code_316,2664,333,13,66602,1,0,0,1,0,0
outlet_code_317,3372,369,17,84296,1,0,0,1,0,0
outlet_code_318,1099,248,14,69956,1,0,0,1,0,0
outlet_code_319,1182,258,15,74095,1,0,0,1,0,0
outlet_code_320,1659,315,20,97938,1,0,0,1,0,0
outlet_code_321,1411,285,17,85571,1,0,0,1,0,0
outlet_code_322,1055,243,14,67756,1,0,0,1,0,0
outlet_code_323,1437,288,17,86861,1,0,0,1,0,0
outlet_code_324,1628,311,19,96376,1,0,0,1,0,0
outlet_code_325,1695,319,20,99726,1,0,0,1,0,0
outlet_code_326,288,388,17,43141,0,1,0,1,0,0
outlet_code_327,855,366,13,34661,0,1,0,1,0,0
outlet_code_328,1205,401,20,45162,0,1,0,1,0,0
outlet_code_329,1517,432,26,54525,0,1,0,0,1,0
outlet_code_330,1042,384,17,40254,0,1,0,1,0,0
outlet_code_331,820,362,12,33603,0,1,0,1,0,0
outlet_code_332,1410,421,24,51292,0,1,0,1,0,0
outlet_code_333,3168,4136,43,133397,0,0,1,0,1,0
outlet_code_334,329,2738,39,139587,0,0,1,0,1,0
outlet_code_335,280,1996,32,114861,0,0,1,0,1,0
outlet_code_336,1045,1890,32,109512,0,0,1,0,1,0
outlet_code_337,1326,2452,42,137613,0,0,1,0,1,0
outlet_code_338,1653,3106,53,170312,0,0,1,0,1,0
outlet_code_339,2674,334,13,66844,1,0,0,1,0,0
outlet_code_340,3927,396,20,98163,1,0,0,1,0,0
outlet_code_341,227,107,11,56714,1,0,0,1,0,0
outlet_code_342,346,137,17,86531,1,0,0,1,0,0
outlet_code_343,257,114,13,64308,1,0,0,1,0,0
outlet_code_344,358,140,18,89595,1,0,0,1,0,0
outlet_code_345,340,135,17,85038,1,0,0,1,0,0
outlet_code_346,1379,281,17,83926,1,0,0,1,0,0
outlet_code_347,1004,237,13,65212,1,0,0,1,0,0
outlet_code_348,1083,246,14,69140,1,0,0,1,0,0
outlet_code_349,1092,247,14,69590,1,0,0,1,0,0
outlet_code_350,823,215,11,56125,1,0,0,1,0,0
outlet_code_351,733,204,10,51631,1,0,0,1,0,0
outlet_code_352,957,231,13,62851,1,0,0,1,0,0
outlet_code_353,822,215,11,56096,1,0,0,1,0,0
outlet_code_354,3527,603,29,52899,0,1,0,0,1,0
outlet_code_355,3839,634,33,57586,0,1,0,0,1,0
outlet_code_356,1033,383,17,39975,0,1,0,1,0,0
outlet_code_357,735,354,11,31052,0,1,0,1,0,0
outlet_code_358,1561,436,27,55834,0,1,0,0,1,0
outlet_code_359,1266,407,21,46966,0,1,0,1,0,0
outlet_code_360,1061,386,17,40827,0,1,0,1,0,0
outlet_code_361,3752,5304,55,162611,0,0,1,0,1,0
outlet_code_362,283,2041,32,116362,0,0,1,0,1,0
outlet_code_363,243,1442,26,96397,0,0,1,0,1,0
outlet_code_364,226,1197,24,88228,0,0,1,1,0,0
outlet_code_365,334,2804,40,141802,0,0,1,0,1,0
outlet_code_366,1070,1940,33,111990,0,0,1,0,1,0
outlet_code_367,1586,2972,51,163582,0,0,1,0,1,0
outlet_code_368,1166,2133,36,121650,0,0,1,0,1,0
outlet_code_369,3698,385,18,92461,1,0,0,1,0,0
outlet_code_370,2496,325,12,62389,1,0,0,1,0,0
outlet_code_371,247,112,12,61677,1,0,0,1,0,0
outlet_code_372,289,122,14,72170,1,0,0,1,0,0
outlet_code_373,1268,268,16,78415,1,0,0,1,0,0
outlet_code_374,1662,315,20,98077,1,0,0,1,0,0
outlet_code_375,1416,286,17,85780,1,0,0,1,0,0
outlet_code_376,1132,252,14,71593,1,0,0,1,0,0
outlet_code_377,1170,256,15,73480,1,0,0,1,0,0
outlet_code_378,1222,263,15,76106,1,0,0,1,0,0
outlet_code_379,1617,310,19,95863,1,0,0,1,0,0
outlet_code_380,1138,253,14,71886,1,0,0,1,0,0
outlet_code_381,3714,621,31,55706,0,1,0,0,1,0
outlet_code_382,395,495,25,59191,0,1,0,0,1,0
outlet_code_383,1340,414,23,49208,0,1,0,1,0,0
outlet_code_384,748,355,11,31433,0,1,0,1,0,0
outlet_code_385,1660,446,29,58793,0,1,0,0,1,0
outlet_code_386,1415,421,24,51439,0,1,0,1,0,0
outlet_code_387,1243,404,21,46291,0,1,0,1,0,0
outlet_code_388,2385,2571,28,94274,0,0,1,0,1,0
outlet_code_389,1045,1890,32,109480,0,0,1,0,1,0
outlet_code_390,1256,2311,39,130573,0,0,1,0,1,0
outlet_code_391,734,1268,21,78376,0,0,1,1,0,0
outlet_code_392,872,1545,26,92242,0,0,1,0,1,0
outlet_code_393,1286,2371,40,133556,0,0,1,0,1,0
outlet_code_394,2126,306,11,53147,1,0,0,1,0,0
outlet_code_395,3611,381,18,90266,1,0,0,1,0,0
outlet_code_396,354,138,18,88425,1,0,0,1,0,0
outlet_code_397,900,224,12,59985,1,0,0,1,0,0
outlet_code_398,1296,271,16,79789,1,0,0,1,0,0
outlet_code_399,1481,294,18,89068,1,0,0,1,0,0
outlet_code_400,1439,289,17,86930,1,0,0,1,0,0
outlet_code_401,998,236,13,64920,1,0,0,1,0,0
outlet_code_402,3828,633,33,57426,0,1,0,0,1,0
outlet_code_403,1317,412,22,48517,0,1,0,1,0,0
outlet_code_404,1519,432,26,54582,0,1,0,0,1,0
outlet_code_405,1446,425,25,52387,0,1,0,0,1,0
outlet_code_406,2732,3263,35,111586,0,0,1,0,1,0
outlet_code_407,3489,4779,50,149470,0,0,1,0,1,0
outlet_code_408,230,1254,25,90134,0,0,1,0,1,0
outlet_code_409,333,2791,40,141357,0,0,1,0,1,0
outlet_code_410,888,1575,27,93763,0,0,1,0,1,0
outlet_code_411,1640,3081,53,169034,0,0,1,0,1,0
outlet_code_412,1313,2426,41,136324,0,0,1,0,1,0
outlet_code_413,867,1534,26,91694,0,0,1,0,1,0
outlet_code_414,1152,2104,36,120189,0,0,1,0,1,0
outlet_code_415,1365,2531,43,141542,0,0,1,0,1,0
outlet_code_416,3133,357,16,78331,1,0,0,1,0,0
outlet_code_417,3498,375,17,87443,1,0,0,1,0,0
outlet_code_418,3163,358,16,79079,1,0,0,1,0,0
outlet_code_419,295,124,15,73677,1,0,0,1,0,0
outlet_code_420,348,137,17,86935,1,0,0,1,0,0
outlet_code_421,1260,267,16,77983,1,0,0,1,0,0
outlet_code_422,1003,236,13,65150,1,0,0,1,0,0
outlet_code_423,1419,286,17,85935,1,0,0,1,0,0
outlet_code_424,1408,285,17,85397,1,0,0,1,0,0
outlet_code_425,344,444,21,51603,0,1,0,1,0,0
outlet_code_426,1335,414,23,49061,0,1,0,1,0,0
outlet_code_427,1188,399,20,44643,0,1,0,1,0,0
outlet_code_428,2144,2088,23,82190,0,0,1,1,0,0
outlet_code_429,2467,2734,29,98347,0,0,1,0,1,0
outlet_code_430,3457,4715,49,147874,0,0,1,0,1,0
outlet_code_431,389,3636,48,169537,0,0,1,0,1,0
outlet_code_432,385,3575,48,167490,0,0,1,0,1,0
outlet_code_433,1039,1878,32,108907,0,0,1,0,1,0
outlet_code_434,1546,2892,50,159582,0,0,1,0,1,0
outlet_code_435,1640,3079,53,168974,0,0,1,0,1,0
outlet_code_436,874,1547,26,92371,0,0,1,0,1,0
outlet_code_437,1015,1829,31,106453,0,0,1,0,1,0
outlet_code_438,212,103,11,53063,1,0,0,1,0,0
outlet_code_439,233,108,12,58259,1,0,0,1,0,0
outlet_code_440,389,147,19,97254,1,0,0,1,0,0
outlet_code_441,324,131,16,81100,1,0,0,1,0,0
outlet_code_442,343,136,17,85637,1,0,0,1,0,0
outlet_code_443,956,231,13,62780,1,0,0,1,0,0
outlet_code_444,1020,238,13,66008,1,0,0,1,0,0
outlet_code_445,1078,245,14,68895,1,0,0,1,0,0
outlet_code_446,827,215,11,56328,1,0,0,1,0,0
outlet_code_447,1381,282,17,84074,1,0,0,1,0,0
outlet_code_448,1553,302,19,92670,1,0,0,1,0,0
outlet_code_449,1534,300,18,91717,1,0,0,1,0,0
outlet_code_450,1201,260,15,75057,1,0,0,1,0,0
outlet_code_451,1313,411,22,48396,0,1,0,1,0,0
outlet_code_452,225,1169,24,87310,0,0,1,1,0,0
outlet_code_453,354,3106,43,151856,0,0,1,0,1,0
outlet_code_454,272,1883,31,111093,0,0,1,0,1,0
outlet_code_455,1689,3177,55,173873,0,0,1,0,1,0
outlet_code_456,1287,2375,41,133736,0,0,1,0,1,0
outlet_code_457,1625,3050,52,167495,0,0,1,0,1,0
outlet_code_458,1593,2985,51,164253,0,0,1,0,1,0
outlet_code_459,976,1751,30,102571,0,0,1,0,1,0
outlet_code_460,1165,2131,36,121541,0,0,1,0,1,0
outlet_code_461,995,1790,30,104521,0,0,1,0,1,0
