outlet_id,region,outlet_size,population_density,number_of_skus_sold,average_household_income
outlet_code_144,upcountry,1601,440,28,57033
outlet_code_145,upcountry,883,368,14,35483
outlet_code_146,western,2925,3651,39,121266
outlet_code_147,western,259,1686,29,104531
outlet_code_148,western,1315,2430,42,136492
outlet_code_149,western,1336,2472,42,138598
outlet_code_150,western,1333,2467,42,138328
outlet_code_151,western,1245,2289,39,129470
outlet_code_152,western,1202,2204,38,125186
outlet_code_153,western,903,1607,27,95340
outlet_code_154,western,885,1570,26,93523
outlet_code_155,western,1358,2515,43,140753
outlet_code_156,outstation,2878,344,14,71960
outlet_code_157,outstation,273,118,14,68305
outlet_code_158,outstation,242,111,12,60519
outlet_code_159,outstation,352,138,18,87902
outlet_code_160,outstation,237,109,12,59253
outlet_code_161,outstation,856,219,12,57819
outlet_code_162,outstation,825,215,11,56256
outlet_code_163,outstation,1188,259,15,74414
outlet_code_164,outstation,1259,267,16,77932
outlet_code_165,outstation,1144,253,14,72216
outlet_code_166,outstation,807,213,11,55336
outlet_code_167,outstation,1438,289,17,86886
outlet_code_168,outstation,981,234,13,64032
outlet_code_169,outstation,1162,255,15,73097
outlet_code_170,upcountry,321,421,19,48212
outlet_code_171,upcountry,1023,382,16,39698
outlet_code_172,western,278,1968,32,113943
outlet_code_173,western,1484,2767,47,153362
outlet_code_174,western,1278,2356,40,132808
outlet_code_175,western,1239,2277,39,128872
outlet_code_176,outstation,2362,318,12,59054
outlet_code_177,outstation,382,146,19,95528
outlet_code_178,outstation,1194,259,15,74693
outlet_code_179,outstation,1695,319,20,99775
outlet_code_180,outstation,734,204,10,51683
outlet_code_181,outstation,1272,269,16,78609
outlet_code_182,outstation,1393,283,17,84672
outlet_code_183,upcountry,3038,554,23,45565
outlet_code_184,upcountry,3636,614,30,54546
outlet_code_185,upcountry,382,482,24,57364
outlet_code_186,upcountry,1283,408,22,47484
outlet_code_187,upcountry,1479,428,26,53376
outlet_code_188,upcountry,1427,423,25,51815
outlet_code_189,upcountry,1463,426,25,52883
outlet_code_190,western,839,1477,25,88866
outlet_code_191,western,1069,1939,33,111927
outlet_code_192,western,1356,2512,43,140590
outlet_code_193,western,839,1478,25,88891
outlet_code_194,western,1580,2961,51,163048
outlet_code_195,outstation,774,209,11,53697
outlet_code_196,outstation,784,210,11,54186
outlet_code_197,outstation,1075,245,14,68750
outlet_code_198,outstation,872,221,12,58593
outlet_code_199,outstation,1046,242,13,67305
outlet_code_200,outstation,1026,239,13,66283
outlet_code_201,upcountry,284,384,16,42559
outlet_code_202,upcountry,304,404,18,45660
outlet_code_203,upcountry,1243,404,21,46300
outlet_code_204,upcountry,1470,427,25,53087
outlet_code_205,upcountry,875,367,13,35236
outlet_code_206,western,2731,3262,35,111553
outlet_code_207,western,2672,3144,33,108604
outlet_code_208,western,2608,3017,32,105421
outlet_code_209,western,212,973,22,80756
outlet_code_210,western,382,3534,47,166139
outlet_code_211,western,325,2682,39,137735
outlet_code_212,western,946,1691,29,99561
outlet_code_213,western,1345,2491,43,139527
outlet_code_214,western,1527,2855,49,157742
outlet_code_215,outstation,2218,311,11,55445
outlet_code_216,outstation,2144,307,11,53601
outlet_code_217,outstation,217,104,11,54231
outlet_code_218,outstation,239,110,12,59815
outlet_code_219,outstation,268,117,13,67019
outlet_code_220,outstation,260,115,13,64947
outlet_code_221,outstation,1371,281,17,83569
outlet_code_222,outstation,1189,259,15,74432
outlet_code_223,outstation,1523,299,18,91152
outlet_code_224,outstation,737,204,10,51849
outlet_code_225,outstation,751,206,11,52553
outlet_code_226,outstation,1662,315,20,98120
outlet_code_227,outstation,956,231,13,62794
outlet_code_228,outstation,1517,298,18,90840
outlet_code_229,outstation,1459,291,18,87969
outlet_code_230,upcountry,299,399,17,44809
outlet_code_231,upcountry,372,472,23,55793
outlet_code_232,upcountry,345,445,21,51783
outlet_code_233,upcountry,1641,444,29,58223
outlet_code_234,upcountry,1136,394,19,43077
outlet_code_235,upcountry,1149,395,19,43466
outlet_code_236,western,236,1342,25,93062
outlet_code_237,western,222,1123,23,85757
outlet_code_238,western,870,1540,26,92006
outlet_code_239,western,1350,2500,43,139983
outlet_code_240,western,960,1721,29,101033
outlet_code_241,western,1437,2673,46,148671
outlet_code_242,outstation,3864,393,19,96600
outlet_code_243,outstation,287,122,14,71818
outlet_code_244,outstation,287,122,14,71636
outlet_code_245,outstation,251,113,13,62808
outlet_code_246,outstation,1027,239,13,66348
outlet_code_247,outstation,1376,281,17,83810
outlet_code_248,outstation,1503,296,18,90162
outlet_code_249,outstation,757,207,11,52827
outlet_code_250,outstation,1586,306,19,94281
outlet_code_251,outstation,1646,314,19,97301
outlet_code_252,upcountry,218,318,11,32756
outlet_code_253,upcountry,1015,381,16,39449
outlet_code_254,western,3801,5402,56,165049
outlet_code_255,western,341,2908,41,145283
outlet_code_256,western,220,1107,23,85225
outlet_code_257,western,218,1066,23,83872
outlet_code_258,western,1456,2712,46,150599
outlet_code_259,western,850,1501,25,90026
outlet_code_260,western,766,1331,22,81558
outlet_code_261,western,1009,1817,31,105871
outlet_code_262,outstation,3226,361,16,80653
outlet_code_263,outstation,2208,310,11,55188
outlet_code_264,outstation,292,123,15,72952
outlet_code_265,outstation,341,135,17,85155
outlet_code_266,outstation,1221,263,15,76049
outlet_code_267,outstation,1550,302,19,92519
outlet_code_268,outstation,1302,272,16,80084
outlet_code_269,upcountry,251,351,14,37716
outlet_code_270,upcountry,212,312,11,31874
outlet_code_271,upcountry,1532,433,27,54947
outlet_code_272,western,338,2875,41,144167
outlet_code_273,western,1685,3171,54,173545
outlet_code_274,western,1310,2421,41,136037
outlet_code_275,western,885,1569,26,93466
outlet_code_276,western,808,1415,24,85775
outlet_code_277,outstation,3078,354,15,76952
outlet_code_278,outstation,2266,313,11,56659
outlet_code_279,outstation,377,144,19,94222
outlet_code_280,outstation,318,130,16,79555
outlet_code_281,outstation,1304,272,16,80204
outlet_code_282,outstation,842,217,11,57118
outlet_code_283,outstation,1317,274,16,80869
outlet_code_284,outstation,1060,243,14,68016
outlet_code_285,outstation,1379,281,17,83958
outlet_code_286,upcountry,1053,385,17,40598
outlet_code_287,upcountry,881,368,14,35437
outlet_code_288,western,2690,3180,34,109492
outlet_code_289,western,357,3156,44,153540
outlet_code_290,western,310,2454,37,130126
outlet_code_291,western,975,1751,30,102535
outlet_code_292,western,986,1771,30,103575
outlet_code_293,outstation,3313,366,17,82817
outlet_code_294,outstation,324,131,16,81044
outlet_code_295,outstation,256,114,13,63929
outlet_code_296,outstation,287,122,14,71652
outlet_code_297,outstation,313,128,16,78207
outlet_code_298,outstation,369,142,18,92308
outlet_code_299,outstation,293,123,15,73293
outlet_code_300,outstation,364,141,18,91048
outlet_code_301,outstation,393,148,20,98325
outlet_code_302,outstation,284,121,14,70979
outlet_code_303,outstation,794,211,11,54685
outlet_code_304,outstation,1168,256,15,73377
outlet_code_305,upcountry,741,354,11,31216
outlet_code_306,upcountry,1661,446,29,58843
outlet_code_307,upcountry,905,371,14,36164
outlet_code_308,upcountry,841,364,13,34245
outlet_code_309,western,275,1923,31,112424
outlet_code_310,western,1147,2094,36,119714
outlet_code_311,western,1663,3125,54,171270
outlet_code_312,western,1348,2496,43,139814
outlet_code_313,western,1338,2477,42,138834
outlet_code_314,western,1450,2699,46,149957
outlet_code_315,western,1171,2142,36,122123
outlet_code_316,outstation,2664,333,13,66602
outlet_code_317,outstation,3372,369,17,84296
outlet_code_318,outstation,1099,248,14,69956
outlet_code_319,outstation,1182,258,15,74095
outlet_code_320,outstation,1659,315,20,97938
outlet_code_321,outstation,1411,285,17,85571
outlet_code_322,outstation,1055,243,14,67756
outlet_code_323,outstation,1437,288,17,86861
outlet_code_324,outstation,1628,311,19,96376
outlet_code_325,outstation,1695,319,20,99726
outlet_code_326,upcountry,288,388,17,43141
outlet_code_327,upcountry,855,366,13,34661
outlet_code_328,upcountry,1205,401,20,45162
outlet_code_329,upcountry,1517,432,26,54525
outlet_code_330,upcountry,1042,384,17,40254
outlet_code_331,upcountry,820,362,12,33603
outlet_code_332,upcountry,1410,421,24,51292
outlet_code_333,western,3168,4136,43,133397
outlet_code_334,western,329,2738,39,139587
outlet_code_335,western,280,1996,32,114861
outlet_code_336,western,1045,1890,32,109512
outlet_code_337,western,1326,2452,42,137613
outlet_code_338,western,1653,3106,53,170312
outlet_code_339,outstation,2674,334,13,66844
outlet_code_340,outstation,3927,396,20,98163
outlet_code_341,outstation,227,107,11,56714
outlet_code_342,outstation,346,137,17,86531
outlet_code_343,outstation,257,114,13,64308
outlet_code_344,outstation,358,140,18,89595
outlet_code_345,outstation,340,135,17,85038
outlet_code_346,outstation,1379,281,17,83926
outlet_code_347,outstation,1004,237,13,65212
outlet_code_348,outstation,1083,246,14,69140
outlet_code_349,outstation,1092,247,14,69590
outlet_code_350,outstation,823,215,11,56125
outlet_code_351,outstation,733,204,10,51631
outlet_code_352,outstation,957,231,13,62851
outlet_code_353,outstation,822,215,11,56096
outlet_code_354,upcountry,3527,603,29,52899
outlet_code_355,upcountry,3839,634,33,57586
outlet_code_356,upcountry,1033,383,17,39975
outlet_code_357,upcountry,735,354,11,31052
outlet_code_358,upcountry,1561,436,27,55834
outlet_code_359,upcountry,1266,407,21,46966
outlet_code_360,upcountry,1061,386,17,40827
outlet_code_361,western,3752,5304,55,162611
outlet_code_362,western,283,2041,32,116362
outlet_code_363,western,243,1442,26,96397
outlet_code_364,western,226,1197,24,88228
outlet_code_365,western,334,2804,40,141802
outlet_code_366,western,1070,1940,33,111990
outlet_code_367,western,1586,2972,51,163582
outlet_code_368,western,1166,2133,36,121650
outlet_code_369,outstation,3698,385,18,92461
outlet_code_370,outstation,2496,325,12,62389
outlet_code_371,outstation,247,112,12,61677
outlet_code_372,outstation,289,122,14,72170
outlet_code_373,outstation,1268,268,16,78415
outlet_code_374,outstation,1662,315,20,98077
outlet_code_375,outstation,1416,286,17,85780
outlet_code_376,outstation,1132,252,14,71593
outlet_code_377,outstation,1170,256,15,73480
outlet_code_378,outstation,1222,263,15,76106
outlet_code_379,outstation,1617,310,19,95863
outlet_code_380,outstation,1138,253,14,71886
outlet_code_381,upcountry,3714,621,31,55706
outlet_code_382,upcountry,395,495,25,59191
outlet_code_383,upcountry,1340,414,23,49208
outlet_code_384,upcountry,748,355,11,31433
outlet_code_385,upcountry,1660,446,29,58793
outlet_code_386,upcountry,1415,421,24,51439
outlet_code_387,upcountry,1243,404,21,46291
outlet_code_388,western,2385,2571,28,94274
outlet_code_389,western,1045,1890,32,109480
outlet_code_390,western,1256,2311,39,130573
outlet_code_391,western,734,1268,21,78376
outlet_code_392,western,872,1545,26,92242
outlet_code_393,western,1286,2371,40,133556
outlet_code_394,outstation,2126,306,11,53147
outlet_code_395,outstation,3611,381,18,90266
outlet_code_396,outstation,354,138,18,88425
outlet_code_397,outstation,900,224,12,59985
outlet_code_398,outstation,1296,271,16,79789
outlet_code_399,outstation,1481,294,18,89068
outlet_code_400,outstation,1439,289,17,86930
outlet_code_401,outstation,998,236,13,64920
outlet_code_402,upcountry,3828,633,33,57426
outlet_code_403,upcountry,1317,412,22,48517
outlet_code_404,upcountry,1519,432,26,54582
outlet_code_405,upcountry,1446,425,25,52387
outlet_code_406,western,2732,3263,35,111586
outlet_code_407,western,3489,4779,50,149470
outlet_code_408,western,230,1254,25,90134
outlet_code_409,western,333,2791,40,141357
outlet_code_410,western,888,1575,27,93763
outlet_code_411,western,1640,3081,53,169034
outlet_code_412,western,1313,2426,41,136324
outlet_code_413,western,867,1534,26,91694
outlet_code_414,western,1152,2104,36,120189
outlet_code_415,western,1365,2531,43,141542
outlet_code_416,outstation,3133,357,16,78331
outlet_code_417,outstation,3498,375,17,87443
outlet_code_418,outstation,3163,358,16,79079
outlet_code_419,outstation,295,124,15,73677
outlet_code_420,outstation,348,137,17,86935
outlet_code_421,outstation,1260,267,16,77983
outlet_code_422,outstation,1003,236,13,65150
outlet_code_423,outstation,1419,286,17,85935
outlet_code_424,outstation,1408,285,17,85397
outlet_code_425,upcountry,344,444,21,51603
outlet_code_426,upcountry,1335,414,23,49061
outlet_code_427,upcountry,1188,399,20,44643
outlet_code_428,western,2144,2088,23,82190
outlet_code_429,western,2467,2734,29,98347
outlet_code_430,western,3457,4715,49,147874
outlet_code_431,western,389,3636,48,169537
outlet_code_432,western,385,3575,48,167490
outlet_code_433,western,1039,1878,32,108907
outlet_code_434,western,1546,2892,50,159582
outlet_code_435,western,1640,3079,53,168974
outlet_code_436,western,874,1547,26,92371
outlet_code_437,western,1015,1829,31,106453
outlet_code_438,outstation,212,103,11,53063
outlet_code_439,outstation,233,108,12,58259
outlet_code_440,outstation,389,147,19,97254
outlet_code_441,outstation,324,131,16,81100
outlet_code_442,outstation,343,136,17,85637
outlet_code_443,outstation,956,231,13,62780
outlet_code_444,outstation,1020,238,13,66008
outlet_code_445,outstation,1078,245,14,68895
outlet_code_446,outstation,827,215,11,56328
outlet_code_447,outstation,1381,282,17,84074
outlet_code_448,outstation,1553,302,19,92670
outlet_code_449,outstation,1534,300,18,91717
outlet_code_450,outstation,1201,260,15,75057
outlet_code_451,upcountry,1313,411,22,48396
outlet_code_452,western,225,1169,24,87310
outlet_code_453,western,354,3106,43,151856
outlet_code_454,western,272,1883,31,111093
outlet_code_455,western,1689,3177,55,173873
outlet_code_456,western,1287,2375,41,133736
outlet_code_457,western,1625,3050,52,167495
outlet_code_458,western,1593,2985,51,164253
outlet_code_459,western,976,1751,30,102571
outlet_code_460,western,1165,2131,36,121541
outlet_code_461,western,995,1790,30,104521
outlet_code_462,outstation,2625,331,13,65626
outlet_code_463,outstation,352,138,18,88073
outlet_code_464,outstation,243,111,12,60645
outlet_code_465,outstation,347,137,17,86751
outlet_code_466,outstation,1566,304,19,93319
outlet_code_467,outstation,1695,319,20,99765
outlet_code_468,outstation,1508,297,18,90381
outlet_code_469,outstation,1089,247,14,69475
outlet_code_470,outstation,782,210,11,54106
outlet_code_471,outstation,1337,276,16,81871
outlet_code_472,outstation,1377,281,17,83839
outlet_code_473,outstation,791,211,11,54531
outlet_code_474,upcountry,3366,587,27,50491
outlet_code_475,upcountry,259,359,14,38826
outlet_code_476,upcountry,293,393,17,43897
outlet_code_477,upcountry,1084,388,18,41526
outlet_code_478,upcountry,1616,442,28,57466
outlet_code_479,upcountry,862,366,13,34857
outlet_code_480,western,3780,5360,56,164003
outlet_code_481,western,3463,4725,49,148137
outlet_code_482,western,272,1883,31,111111
outlet_code_483,western,303,2346,35,126533
outlet_code_484,western,221,1119,23,85624
outlet_code_485,western,1329,2458,42,137890
outlet_code_486,western,1394,2588,44,144403
outlet_code_487,western,1004,1808,31,105381
outlet_code_488,western,1460,2721,47,151034
outlet_code_489,western,1253,2305,39,130273
outlet_code_490,western,1201,2201,38,125061
outlet_code_491,outstation,337,134,17,84195
outlet_code_492,outstation,339,135,17,84628
outlet_code_493,outstation,1643,313,19,97171
outlet_code_494,outstation,1645,313,19,97247
outlet_code_495,outstation,1426,287,17,86311
outlet_code_496,outstation,1220,262,15,76002
outlet_code_497,outstation,765,208,11,53244
outlet_code_498,outstation,918,226,12,60889
outlet_code_499,outstation,1410,285,17,85520
outlet_code_500,upcountry,335,435,20,50200
outlet_code_501,upcountry,398,498,25,59686
outlet_code_502,upcountry,983,378,16,38487
outlet_code_503,western,307,2410,36,128661
outlet_code_504,western,317,2557,38,133575
outlet_code_505,western,204,855,21,76838
outlet_code_506,western,379,3492,47,164743
outlet_code_507,western,1239,2278,39,128903
outlet_code_508,western,980,1760,30,102983
outlet_code_509,western,752,1304,22,80175
outlet_code_510,western,1051,1902,32,110120
outlet_code_511,western,835,1470,25,88518
outlet_code_512,western,747,1293,22,79666
outlet_code_513,outstation,374,143,19,93411
outlet_code_514,outstation,869,220,12,58430
outlet_code_515,outstation,1003,236,13,65151
outlet_code_516,outstation,890,223,12,59516
outlet_code_517,outstation,1244,265,15,77208
outlet_code_518,outstation,1578,305,19,93888
outlet_code_519,upcountry,1220,402,20,45586
outlet_code_520,upcountry,1235,403,21,46038
outlet_code_521,upcountry,1580,438,28,56389
outlet_code_522,upcountry,1370,417,23,50091
outlet_code_523,upcountry,1143,394,19,43282
outlet_code_524,western,2651,3102,33,107541
outlet_code_525,western,365,3281,45,157716
outlet_code_526,western,273,1895,31,111488
outlet_code_527,western,956,1711,29,100555
outlet_code_528,western,1081,1962,33,113115
outlet_code_529,western,1659,3117,54,170868
outlet_code_530,western,1394,2588,44,144375
outlet_code_531,western,1647,3094,53,169697
outlet_code_532,western,1358,2515,43,140751
outlet_code_533,outstation,2798,340,14,69947
outlet_code_534,outstation,2521,326,13,63035
outlet_code_535,outstation,218,105,11,54502
outlet_code_536,outstation,369,142,18,92157
outlet_code_537,outstation,1518,298,18,90910
outlet_code_538,outstation,1276,269,16,78800
outlet_code_539,outstation,1558,303,19,92890
outlet_code_540,outstation,1663,316,20,98147
outlet_code_541,outstation,1450,290,18,87520
outlet_code_542,outstation,1436,288,17,86791
outlet_code_543,upcountry,783,358,12,32486
outlet_code_544,upcountry,1649,445,29,58458
outlet_code_545,upcountry,1654,445,29,58610
outlet_code_546,western,2710,3221,34,110524
outlet_code_547,western,794,1388,23,84399
outlet_code_548,western,1054,1909,32,110426
outlet_code_549,outstation,2254,313,11,56360
outlet_code_550,outstation,2897,345,14,72429
outlet_code_551,outstation,3832,392,19,95811
outlet_code_552,outstation,3724,386,19,93097
outlet_code_553,outstation,346,136,17,86493
outlet_code_554,outstation,375,144,19,93817
outlet_code_555,outstation,821,215,11,56073
outlet_code_556,outstation,778,209,11,53888
outlet_code_557,outstation,984,234,13,64186
outlet_code_558,outstation,1498,296,18,89884
outlet_code_559,outstation,1293,271,16,79655
outlet_code_560,outstation,1554,303,19,92724
outlet_code_561,outstation,989,235,13,64430
outlet_code_562,outstation,1123,251,14,71143
outlet_code_563,outstation,777,209,11,53832
outlet_code_564,upcountry,2159,466,12,32392
outlet_code_565,upcountry,3119,562,24,46792
outlet_code_566,upcountry,354,454,22,53097
outlet_code_567,upcountry,817,362,12,33513
outlet_code_568,upcountry,736,354,11,31084
outlet_code_569,western,2938,3676,39,121902
outlet_code_570,western,350,3054,43,150147
outlet_code_571,western,290,2146,33,119878
outlet_code_572,western,1146,2091,36,119574
outlet_code_573,western,793,1386,23,84290
outlet_code_574,western,1240,2280,39,129002
outlet_code_575,western,816,1432,24,86585
outlet_code_576,western,1066,1931,33,111564
outlet_code_577,western,794,1388,23,84402
outlet_code_578,outstation,255,114,13,63731
outlet_code_579,outstation,358,140,18,89619
outlet_code_580,outstation,315,129,16,78788
outlet_code_581,outstation,1618,310,19,95889
outlet_code_582,outstation,1237,264,15,76869
outlet_code_583,outstation,1599,308,19,94971
outlet_code_584,outstation,1009,237,13,65445
outlet_code_585,outstation,1364,280,17,83189
outlet_code_586,outstation,1400,284,17,84997
outlet_code_587,outstation,1261,267,16,78035
outlet_code_588,outstation,807,213,11,55369
outlet_code_589,upcountry,282,382,16,42244
outlet_code_590,upcountry,377,477,23,56583
outlet_code_591,upcountry,338,438,20,50679
outlet_code_592,western,2923,3645,38,121136
outlet_code_593,western,328,2714,39,138786
outlet_code_594,western,399,3780,50,174336
outlet_code_595,western,1044,1887,32,109364
outlet_code_596,western,1171,2142,36,122094
outlet_code_597,outstation,3402,370,17,85047
outlet_code_598,outstation,240,110,12,60046
outlet_code_599,outstation,219,105,11,54812
outlet_code_600,outstation,1564,304,19,93200
outlet_code_601,outstation,937,228,12,61851
outlet_code_602,outstation,1152,254,15,72585
outlet_code_603,outstation,867,220,12,58352
outlet_code_604,outstation,1382,282,17,84118
outlet_code_605,outstation,854,219,12,57717
outlet_code_606,outstation,1559,303,19,92953
outlet_code_607,upcountry,1466,427,25,52982
outlet_code_608,upcountry,954,375,15,37623
outlet_code_609,western,3392,4584,48,144606
outlet_code_610,western,281,2014,32,115450
outlet_code_611,western,1098,1995,34,114759
outlet_code_612,western,1521,2841,49,157059
outlet_code_613,western,971,1743,30,102146
outlet_code_614,outstation,3859,393,19,96487
outlet_code_615,outstation,3972,399,20,99298
outlet_code_616,outstation,299,125,15,74709
outlet_code_617,outstation,225,106,11,56369
outlet_code_618,outstation,298,125,15,74511
outlet_code_619,outstation,277,119,14,69289
outlet_code_620,outstation,261,115,13,65297
outlet_code_621,outstation,1169,256,15,73432
outlet_code_622,outstation,1239,265,15,76955
outlet_code_623,outstation,1678,317,20,98899
outlet_code_624,outstation,992,235,13,64599
outlet_code_625,outstation,1131,252,14,71561
outlet_code_626,outstation,982,234,13,64107
outlet_code_627,upcountry,778,358,12,32350
outlet_code_628,western,2495,2790,30,99757
outlet_code_629,western,317,2557,38,133561
outlet_code_630,western,286,2090,33,117990
outlet_code_631,western,730,1260,21,77989
outlet_code_632,western,868,1536,26,91815
outlet_code_633,outstation,349,137,17,87346
outlet_code_634,outstation,296,124,15,74026
outlet_code_635,outstation,295,124,15,73776
outlet_code_636,outstation,319,130,16,79649
outlet_code_637,outstation,1279,270,16,78974
outlet_code_638,outstation,822,215,11,56085
outlet_code_639,outstation,1657,315,20,97842
outlet_code_640,outstation,1356,279,17,82815
outlet_code_641,upcountry,3420,592,28,51294
outlet_code_642,upcountry,2518,502,16,37768
outlet_code_643,upcountry,346,446,21,51948
outlet_code_644,upcountry,336,436,20,50370
outlet_code_645,upcountry,1527,433,27,54806
outlet_code_646,western,2369,2537,27,93437
outlet_code_647,western,205,873,21,77422
outlet_code_648,western,971,1742,29,102076
outlet_code_649,western,851,1501,25,90075
outlet_code_650,outstation,2606,330,13,65155
